,Date,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Humidity_High,Humidity_Avg,Humidity_Low,Wind_Speed_High,Wind_Speed_Avg,Wind_Speed_Low,Pressure_High,Pressure_Low,Daily_Precipitation
0,10/1/2022,55.9,52.9,48.4,54.7,49.7,46.9,96,89,78,5.6,0.8,0.0,28.88,28.71,0.34
1,10/2/2022,56.7,52.9,48.4,48.4,44.1,30.9,83,73,50,8.1,1.1,0.0,28.94,28.70,0.00
2,10/3/2022,48.4,45.1,43.0,41.5,38.0,31.1,94,77,52,6.0,0.6,0.0,28.97,28.86,0.20
3,10/4/2022,47.8,44.4,40.8,47.5,43.7,39.9,99,97,87,8.9,1.0,0.0,28.87,28.66,2.35
4,10/5/2022,57.7,52.5,47.7,56.8,52.0,47.3,99,99,94,6.9,1.3,0.0,28.71,28.63,0.47
5,10/6/2022,72.9,59.1,48.0,53.2,49.0,43.3,98,71,41,3.8,1.1,0.0,28.76,28.68,0.01
6,10/7/2022,71.2,60.3,50.4,55.2,51.6,42.4,91,74,48,11.4,2.4,0.0,28.82,28.68,0.00
7,10/8/2022,54.0,46.7,40.6,42.6,36.3,32.5,84,68,49,10.7,2.9,0.0,28.92,28.80,0.00
8,10/9/2022,59.2,47.8,38.8,41.4,37.1,34.0,88,68,44,8.5,2.0,0.0,28.90,28.81,0.00
9,10/10/2022,63.9,54.1,46.4,45.7,40.6,37.2,78,61,39,6.7,1.3,0.0,28.98,28.88,0.00
10,10/11/2022,68.2,56.3,45.1,50.0,45.0,41.7,90,67,47,5.1,1.3,0.0,29.08,28.97,0.00
11,10/12/2022,66.7,58.2,52.2,52.0,45.5,40.3,90,64,40,12.8,2.4,0.0,29.01,28.78,0.00
12,10/13/2022,63.7,57.4,49.5,62.8,56.3,49.1,99,97,87,10.1,2.4,0.0,28.79,28.49,1.12
13,10/14/2022,64.0,53.4,47.7,49.5,43.2,32.5,99,73,36,8.5,1.9,0.0,28.77,28.53,0.08
14,10/15/2022,66.0,57.4,49.5,48.2,39.6,31.3,79,52,41,11.6,2.1,0.0,28.80,28.67,0.00
15,10/16/2022,62.2,54.2,45.5,48.6,43.9,36.0,95,70,43,4.9,1.1,0.0,28.74,28.58,0.00
16,10/17/2022,60.1,52.0,46.4,54.0,47.2,34.0,99,85,45,7.2,1.4,0.0,28.60,28.34,0.68
17,10/18/2022,52.5,44.0,37.8,41.2,32.8,27.0,85,65,49,6.9,2.6,0.0,28.48,28.33,0.00
18,10/19/2022,49.6,41.1,35.1,34.2,31.9,28.4,86,71,50,8.7,1.6,0.0,28.64,28.47,0.00
19,10/20/2022,54.3,44.8,36.5,35.8,30.4,23.7,91,60,31,10.5,2.1,0.0,28.76,28.63,0.00
20,10/21/2022,61.3,50.3,41.4,35.4,30.9,21.9,72,49,28,4.5,1.5,0.0,28.92,28.74,0.00
21,10/22/2022,66.9,54.6,46.4,43.3,39.0,31.1,74,57,34,4.9,0.8,0.0,29.04,28.90,0.00
22,10/23/2022,63.0,55.1,49.3,51.1,44.4,32.9,86,68,49,6.0,0.4,0.0,29.04,28.93,0.00
23,10/24/2022,57.7,54.5,50.9,57.4,54.0,48.4,99,98,87,3.8,0.1,0.0,28.94,28.86,0.43
24,10/25/2022,65.7,62.1,57.2,65.3,61.7,56.8,99,99,99,4.0,0.3,0.0,28.87,28.73,0.09
25,10/26/2022,65.5,61.3,55.0,63.7,60.1,51.6,99,96,85,7.6,1.4,0.0,28.74,28.48,0.02
26,10/27/2022,58.6,52.4,43.3,52.2,41.9,33.3,94,69,41,14.3,3.6,0.0,29.11,28.57,0.00
27,10/28/2022,56.1,45.7,38.1,34.5,31.3,24.8,75,59,31,4.7,0.5,0.0,29.24,29.10,0.00
28,10/29/2022,59.9,47.6,36.9,34.3,27.7,20.7,76,50,23,5.8,0.3,0.0,29.22,29.06,0.00
29,10/30/2022,64.6,52.2,43.5,45.9,26.1,14.5,90,38,15,6.0,0.8,0.0,29.07,28.85,0.00
30,10/31/2022,60.3,53.0,44.6,54.7,49.1,44.2,99,87,69,6.3,1.3,0.0,28.86,28.73,0.07
