,Date,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Humidity_High,Humidity_Avg,Humidity_Low,Wind_Speed_High,Wind_Speed_Avg,Wind_Speed_Low,Pressure_High,Pressure_Low,Daily_Precipitation
0,10/1/2023,78.0,63.9,55.2,64.3,59.2,54.9,100,86,60,7.0,1.1,0.0,30.31,30.23,0.01
1,10/2/2023,77.4,66.1,59.6,64.4,60.1,57.9,95,82,62,6.0,0.7,0.0,30.30,30.25,0.00
2,10/3/2023,82.1,67.6,57.1,67.5,61.8,56.3,98,83,58,4.0,0.5,0.0,30.28,30.21,0.00
3,10/4/2023,85.5,71.2,61.4,70.6,64.4,60.3,97,81,50,9.0,0.8,0.0,30.31,30.22,0.00
4,10/5/2023,78.4,65.5,57.6,66.0,61.4,57.0,99,88,62,10.0,2.5,0.0,30.35,30.20,0.00
5,10/6/2023,72.1,66.4,60.6,67.4,64.9,59.5,100,95,83,10.0,2.4,0.0,30.20,29.97,0.01
6,10/7/2023,66.5,59.9,47.6,66.5,59.1,45.9,100,97,89,10.0,2.6,0.0,29.97,29.70,0.11
7,10/8/2023,55.7,49.4,44.2,47.2,43.0,39.3,94,79,65,13.0,4.0,0.0,29.78,29.66,0.01
8,10/9/2023,59.0,48.9,41.1,44.0,39.9,36.6,88,72,52,14.0,2.8,0.0,29.87,29.77,0.00
9,10/10/2023,63.3,52.8,44.7,50.6,43.7,38.9,95,73,44,11.0,1.9,0.0,29.90,29.83,0.00
10,10/11/2023,68.5,57.8,48.8,49.2,44.9,40.8,87,64,38,10.0,1.5,0.0,29.96,29.87,0.00
11,10/12/2023,70.4,56.5,46.7,52.4,46.8,40.5,97,73,40,7.0,0.6,0.0,29.99,29.91,0.00
12,10/13/2023,63.6,52.2,43.8,46.7,43.0,40.8,89,72,48,6.0,1.6,0.0,30.07,29.96,0.00
13,10/14/2023,49.4,46.7,44.4,45.7,44.2,42.2,98,91,80,5.0,0.4,0.0,30.02,29.62,0.84
14,10/15/2023,59.3,48.5,43.4,47.0,43.9,40.7,98,85,58,11.0,2.0,0.0,29.67,29.56,0.01
15,10/16/2023,62.2,49.1,41.9,54.3,45.5,40.2,95,88,63,7.0,1.8,0.0,29.82,29.64,0.04
16,10/17/2023,60.9,50.9,44.1,51.2,46.2,43.3,98,85,61,4.0,0.5,0.0,30.13,29.82,0.01
17,10/18/2023,59.9,52.4,46.3,52.0,48.3,44.4,96,87,68,8.0,0.3,0.0,30.22,30.13,0.00
18,10/19/2023,62.4,53.3,45.3,52.4,48.1,44.2,97,83,63,12.0,2.4,0.0,30.22,30.04,0.00
19,10/20/2023,65.8,56.9,52.4,59.5,55.3,51.6,99,95,74,12.0,3.0,0.0,30.04,29.50,0.09
20,10/21/2023,63.7,55.1,51.7,57.0,51.2,45.1,99,88,59,16.0,3.1,0.0,29.53,29.34,0.04
21,10/22/2023,55.1,48.8,43.1,45.3,39.5,34.6,85,71,49,16.0,4.4,1.0,29.94,29.53,0.00
22,10/23/2023,60.2,47.9,41.2,44.5,39.1,36.4,85,72,48,11.0,2.2,0.0,30.34,29.94,0.00
23,10/24/2023,66.8,52.5,41.1,46.1,41.0,37.1,90,67,40,11.0,2.2,0.0,30.44,30.33,0.00
24,10/25/2023,75.6,61.4,49.6,51.5,46.6,41.4,79,60,38,9.0,2.4,0.0,30.37,30.30,0.00
25,10/26/2023,80.8,66.6,55.1,58.3,51.2,46.9,75,59,39,9.0,2.2,0.0,30.34,30.24,0.00
26,10/27/2023,75.8,65.8,60.4,58.5,53.6,46.7,80,65,53,9.0,2.2,0.0,30.26,30.11,0.00
27,10/28/2023,79.4,67.2,57.1,64.8,59.1,47.9,90,76,59,14.0,2.9,0.0,30.18,30.06,0.00
28,10/29/2023,57.2,49.9,46.4,48.8,46.7,44.1,99,89,71,10.0,1.6,0.0,30.20,30.04,0.23
29,10/30/2023,54.2,48.5,43.1,54.2,48.0,39.8,100,98,88,8.0,1.8,0.0,30.04,29.75,0.22
30,10/31/2023,50.3,42.8,36.1,40.0,35.7,31.5,93,77,53,9.0,1.7,0.0,30.17,30.01,0.00
