,Date,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Humidity_High,Humidity_Avg,Humidity_Low,Wind_Speed_High,Wind_Speed_Avg,Wind_Speed_Low,Pressure_High,Pressure_Low,Daily_Precipitation
0,10/1/2024,71.1,59.4,54.0,59.7,55.5,52.6,99,88,61,6.0,0.7,0.0,29.96,29.89,0.00
1,10/2/2024,67.5,58.1,53.6,57.8,54.9,53.1,99,90,68,3.1,0.4,0.0,29.93,29.86,0.00
2,10/3/2024,74.3,61.3,55.8,61.1,56.4,54.1,96,85,58,4.9,0.4,0.0,30.08,29.92,0.00
3,10/4/2024,74.8,62.6,54.7,64.5,59.4,54.4,99,90,68,4.3,0.4,0.0,30.11,30.02,0.00
4,10/5/2024,74.5,61.5,50.2,60.3,53.5,46.5,99,78,42,7.2,1.3,0.0,30.07,29.99,0.00
5,10/6/2024,75.2,60.0,47.3,57.1,50.5,43.5,96,74,42,4.9,0.7,0.0,30.05,29.79,0.00
6,10/7/2024,71.6,59.3,48.0,60.6,52.7,46.1,99,81,46,7.4,1.3,0.0,29.80,29.70,0.00
7,10/8/2024,67.6,54.1,44.2,47.9,43.9,38.6,96,71,38,6.0,1.1,0.0,29.83,29.74,0.00
8,10/9/2024,67.5,54.4,45.1,47.1,42.1,38.0,89,65,39,7.6,1.2,0.0,29.86,29.74,0.00
9,10/10/2024,59.7,48.1,40.5,42.2,39.4,37.2,91,73,49,9.6,2.7,0.0,29.99,29.84,0.00
10,10/11/2024,68.2,52.3,39.6,46.5,40.9,35.5,93,69,32,7.8,1.9,0.0,29.99,29.80,0.00
11,10/12/2024,71.8,59.1,43.9,49.8,41.9,32.5,67,54,29,13.0,2.0,0.0,29.89,29.75,0.00
12,10/13/2024,72.0,57.6,43.7,58.2,46.7,33.1,99,68,49,5.8,0.6,0.0,29.87,29.52,0.00
13,10/14/2024,61.2,49.6,40.5,53.5,43.4,35.6,99,81,47,12.3,2.5,0.0,29.74,29.49,0.00
14,10/15/2024,56.3,43.5,36.1,39.7,35.4,33.3,92,75,46,8.1,1.8,0.0,29.79,29.70,0.00
15,10/16/2024,56.8,44.2,36.1,39.2,35.1,33.3,91,72,48,10.7,2.4,0.0,30.05,29.77,0.00
16,10/17/2024,58.6,43.9,31.3,37.8,34.5,30.0,96,72,41,6.7,1.1,0.0,30.14,30.03,0.00
17,10/18/2024,69.1,50.9,38.5,38.4,35.0,30.1,84,58,26,7.4,1.2,0.0,30.37,30.12,0.00
18,10/19/2024,74.7,55.9,43.9,43.8,37.0,33.7,71,52,25,3.8,0.5,0.0,30.40,30.26,0.00
19,10/20/2024,75.6,60.4,49.3,44.6,38.3,35.4,66,46,25,4.5,0.9,0.0,30.27,30.08,0.00
20,10/21/2024,81.9,65.8,54.3,52.3,45.4,39.5,60,49,33,6.5,1.3,0.0,30.12,30.04,0.00
21,10/22/2024,86.5,69.5,56.7,55.7,51.7,48.2,75,55,33,5.4,0.5,0.0,30.17,30.06,0.00
22,10/23/2024,79.3,64.6,54.0,53.2,48.1,43.9,79,57,31,6.0,0.8,0.0,30.07,29.78,0.00
23,10/24/2024,64.2,56.4,45.0,54.9,43.7,35.4,91,64,40,9.2,2.7,0.0,29.95,29.75,0.00
24,10/25/2024,66.2,49.0,34.3,40.2,35.2,28.3,96,63,27,5.8,1.1,0.0,30.05,29.89,0.00
25,10/26/2024,61.5,52.9,44.8,44.1,37.6,30.6,75,57,32,11.0,2.3,0.0,30.16,29.88,0.00
26,10/27/2024,57.2,44.8,34.9,35.5,28.5,19.1,90,57,24,6.3,1.1,0.0,30.28,30.14,0.00
27,10/28/2024,63.7,47.2,35.2,36.7,29.4,21.1,81,52,30,4.9,0.4,0.0,30.30,30.19,0.00
28,10/29/2024,68.0,52.2,38.7,55.3,45.4,35.1,97,79,47,7.6,1.1,0.0,30.33,30.22,0.00
29,10/30/2024,78.6,62.3,50.4,57.9,53.8,47.7,99,76,48,6.5,0.8,0.0,30.23,30.07,0.00
30,10/31/2024,82.0,68.2,58.6,60.7,56.8,53.8,85,68,47,6.5,1.4,0.0,30.08,29.85,0.00
