,Date,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Humidity_High,Humidity_Avg,Humidity_Low,Wind_Speed_High,Wind_Speed_Avg,Wind_Speed_Low,Pressure_High,Pressure_Low,Daily_Precipitation
0,10/1/2022,55.9,53.2,49.0,53.0,50.1,47.0,91,89,84,8.0,1.2,0.0,30.24,30.07,0.34
1,10/2/2022,57.5,53.5,49.5,50.0,45.8,33.0,85,76,53,17.0,2.9,0.0,30.31,30.08,0.00
2,10/3/2022,49.5,46.1,44.2,42.0,39.4,33.0,91,78,54,11.0,2.1,0.0,30.35,30.26,0.19
3,10/4/2022,47.9,45.2,41.9,45.0,42.6,40.0,92,90,86,12.0,3.9,0.0,30.26,30.05,1.43
4,10/5/2022,58.4,52.9,47.5,56.0,49.9,45.0,91,89,88,10.0,2.4,0.0,30.07,30.02,0.36
5,10/6/2022,75.0,57.5,45.1,57.0,49.9,43.0,92,78,46,7.0,0.1,0.0,30.12,30.05,0.00
6,10/7/2022,72.0,59.7,51.7,56.0,52.8,46.0,91,79,56,9.0,1.3,0.0,30.17,30.02,0.00
7,10/8/2022,53.8,46.8,38.4,46.0,38.4,36.0,91,73,55,10.0,2.7,0.0,30.29,30.17,0.00
8,10/9/2022,59.0,46.7,37.1,42.0,38.3,35.0,91,74,50,7.0,0.7,0.0,30.29,30.20,0.00
9,10/10/2022,64.6,53.0,43.9,46.0,42.2,39.0,84,68,47,8.0,0.5,0.0,30.35,30.27,0.00
10,10/11/2022,69.7,55.0,42.1,51.0,46.1,40.0,91,74,51,6.0,0.3,0.0,30.45,30.35,0.00
11,10/12/2022,66.3,57.1,46.6,53.0,47.0,44.0,90,71,48,11.0,1.2,0.0,30.38,30.14,0.00
12,10/13/2022,64.6,58.0,49.9,62.0,54.7,46.0,90,89,86,11.0,2.8,0.0,30.14,29.82,0.91
13,10/14/2022,65.7,52.3,43.8,48.0,44.7,39.0,91,77,39,12.0,1.7,0.0,30.13,29.89,0.08
14,10/15/2022,67.7,53.9,41.1,49.0,43.3,38.0,90,70,45,11.0,1.8,0.0,30.17,30.04,0.00
15,10/16/2022,63.8,52.6,45.9,49.0,45.3,42.0,90,77,49,4.0,0.4,0.0,30.10,29.95,0.00
16,10/17/2022,60.3,51.7,46.7,55.0,47.8,39.0,90,87,70,6.0,1.1,0.0,29.95,29.69,0.64
17,10/18/2022,52.6,43.9,37.2,43.0,34.7,30.0,88,71,57,9.0,1.1,0.0,29.86,29.69,0.00
18,10/19/2022,47.7,40.7,34.5,36.0,33.4,31.0,89,76,58,12.0,0.6,0.0,30.03,29.86,0.00
19,10/20/2022,55.1,44.6,35.2,37.0,32.5,27.0,90,66,38,10.0,1.2,0.0,30.14,30.03,0.00
20,10/21/2022,61.1,47.5,34.5,42.0,34.5,28.0,91,64,36,6.0,0.5,0.0,30.30,30.14,0.00
21,10/22/2022,66.0,51.6,39.1,45.0,41.1,35.0,90,70,41,7.0,0.4,0.0,30.41,30.29,0.00
22,10/23/2022,61.1,53.3,42.9,52.0,47.0,40.0,90,79,69,6.0,0.5,0.0,30.42,30.31,0.00
23,10/24/2022,57.2,54.4,51.3,53.0,50.6,48.0,90,87,85,4.0,0.2,0.0,30.31,30.22,0.36
24,10/25/2022,66.2,62.2,57.2,62.0,57.9,53.0,86,85,84,6.0,0.4,0.0,30.23,30.07,0.05
25,10/26/2022,65.7,61.6,55.4,62.0,57.4,52.0,89,86,83,11.0,0.9,0.0,30.07,29.81,0.03
26,10/27/2022,59.0,52.9,45.8,52.0,43.6,36.0,90,72,49,17.0,3.8,0.0,30.49,29.91,0.00
27,10/28/2022,54.8,45.8,39.7,37.0,33.6,28.0,84,64,36,9.0,1.1,0.0,30.64,30.49,0.00
28,10/29/2022,60.3,44.4,32.8,39.0,33.2,27.0,91,69,31,6.0,0.3,0.0,30.62,30.47,0.00
29,10/30/2022,62.6,46.7,33.9,45.0,33.4,25.0,90,65,28,4.0,0.3,0.0,30.47,30.25,0.00
30,10/31/2022,59.3,52.6,42.0,54.0,48.4,38.0,89,86,77,5.0,0.5,0.0,30.25,30.09,0.06
