,Date,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Humidity_High,Humidity_Avg,Humidity_Low,Wind_Speed_High,Wind_Speed_Avg,Wind_Speed_Low,Pressure_High,Pressure_Low,Daily_Precipitation
0,10/1/2022,56.8,53.6,49.1,54.0,49.4,46.6,94,86,74,2.5,0.1,0.0,30.53,30.35,0.21
1,10/2/2022,57.6,53.6,49.5,48.4,44.6,32.4,81,72,51,3.6,0.2,0.0,30.59,30.36,0.00
2,10/3/2022,49.5,46.3,43.7,42.3,38.9,33.1,93,76,54,2.9,0.0,0.0,30.63,30.52,0.13
3,10/4/2022,48.4,45.1,41.7,47.7,44.0,40.3,97,96,93,2.5,0.0,0.0,30.52,30.31,2.23
4,10/5/2022,57.6,52.9,48.0,56.8,52.0,47.3,98,97,94,2.2,0.0,0.0,30.35,30.28,0.50
5,10/6/2022,72.9,57.8,44.1,57.0,50.4,43.3,97,79,41,1.1,0.0,0.0,30.41,30.33,0.00
6,10/7/2022,73.9,60.1,48.6,57.6,51.1,43.2,96,74,48,2.2,0.1,0.0,30.48,30.31,0.00
7,10/8/2022,55.6,47.6,36.1,43.3,37.7,33.8,91,69,50,3.4,0.1,0.0,30.57,30.46,0.00
8,10/9/2022,60.6,46.5,33.1,43.2,37.6,31.3,94,74,46,2.9,0.1,0.0,30.56,30.46,0.00
9,10/10/2022,66.9,51.5,38.1,49.1,41.9,36.1,94,74,37,4.3,0.1,0.0,30.63,30.53,0.00
10,10/11/2022,69.3,53.5,39.2,50.7,44.7,37.4,94,75,43,3.6,0.1,0.0,30.72,30.62,0.00
11,10/12/2022,70.7,55.8,41.2,52.0,45.2,39.2,94,71,38,6.9,0.4,0.0,30.67,30.43,0.00
12,10/13/2022,64.8,58.4,50.5,62.2,55.8,49.5,96,91,83,8.5,0.8,0.0,30.44,30.13,1.00
13,10/14/2022,64.0,52.1,40.6,53.1,45.9,37.6,97,82,42,2.2,0.0,0.0,30.42,30.18,0.10
14,10/15/2022,66.9,52.6,38.1,48.4,41.8,36.1,94,71,39,7.2,0.5,0.0,30.44,30.31,0.00
15,10/16/2022,64.0,51.7,42.6,48.0,43.6,40.5,95,76,46,2.0,0.1,0.0,30.40,30.23,0.00
16,10/17/2022,60.4,51.1,44.4,53.6,48.1,40.5,95,90,76,5.6,0.1,0.0,30.25,29.98,0.66
17,10/18/2022,55.0,45.0,37.2,44.6,35.6,29.8,95,71,47,1.8,0.0,0.0,30.14,29.98,0.00
18,10/19/2022,51.4,41.1,30.7,37.6,32.8,28.8,94,74,50,4.7,0.1,0.0,30.29,30.12,0.00
19,10/20/2022,58.1,44.8,35.8,39.0,32.5,25.7,91,66,30,4.5,0.2,0.0,30.42,30.28,0.00
20,10/21/2022,65.1,46.0,31.1,41.9,32.7,25.3,93,65,26,3.8,0.1,0.0,30.57,30.40,0.00
21,10/22/2022,68.7,50.1,34.3,46.6,38.5,32.4,93,69,32,3.6,0.1,0.0,30.69,30.55,0.00
22,10/23/2022,61.5,52.1,41.0,50.7,45.1,38.3,91,78,64,2.2,0.0,0.0,30.69,30.58,0.00
23,10/24/2022,57.7,54.9,52.0,56.7,53.3,47.5,96,94,81,2.0,0.0,0.0,30.59,30.50,0.25
24,10/25/2022,67.1,62.5,57.2,64.9,61.5,56.1,98,96,91,4.9,0.3,0.0,30.52,30.38,0.07
25,10/26/2022,67.3,61.9,54.7,64.4,60.1,51.1,98,94,83,3.8,0.1,0.0,30.39,30.12,0.02
26,10/27/2022,62.4,53.6,42.4,51.8,43.3,34.9,95,70,42,2.7,0.2,0.0,30.76,30.22,0.00
27,10/28/2022,55.8,45.6,38.1,38.3,33.5,27.5,84,64,35,3.4,0.1,0.0,30.89,30.75,0.00
28,10/29/2022,62.4,43.9,31.1,40.5,30.4,20.3,93,65,23,3.4,0.1,0.0,30.87,30.71,0.00
29,10/30/2022,66.6,45.3,28.9,37.6,28.6,20.1,88,59,20,3.1,0.1,0.0,30.72,30.50,0.00
30,10/31/2022,62.8,52.3,40.1,53.8,46.2,33.6,94,80,65,3.4,0.1,0.0,30.51,30.37,0.09
